City,Price(P),Change(P),Price(D),Change(D)
Anantnag,100.80 ₹/L,  0.00,86.13 ₹/L,  0.00
Badgam,101.67 ₹/L,  0.00,86.77 ₹/L,  0.00
Bandipora,102.15 ₹/L,  0.00,87.21 ₹/L,  0.00
Baramullah,102.06 ₹/L,- 0.07,87.13 ₹/L,- 0.06
Doda,100.46 ₹/L,  0.00,85.72 ₹/L,  0.00
Ganderbal,102.04 ₹/L,  0.00,87.11 ₹/L,  0.00
Jammu,97.50 ₹/L,  0.00,83.26 ₹/L,  0.00
Kathua,98.21 ₹/L,  0.00,83.92 ₹/L,  0.00
Kishtwar,100.89 ₹/L,  0.00,86.11 ₹/L,  0.00
Kulgam,101.20 ₹/L,  0.00,86.38 ₹/L,  0.00
Kupwara,102.32 ₹/L,- 0.17,87.37 ₹/L,- 0.16
Poonch,100.40 ₹/L,  0.00,85.70 ₹/L,  0.00
Pulwama,101.14 ₹/L,- 0.53,86.45 ₹/L,- 0.32
Rajouri,99.03 ₹/L,+ 0.61,84.64 ₹/L,+ 0.56
Ramban,99.56 ₹/L,  0.00,84.99 ₹/L,  0.00
Reasi,98.82 ₹/L,  0.00,84.30 ₹/L,  0.00
Samba,97.50 ₹/L,  0.00,83.26 ₹/L,  0.00
Shopian,100.96 ₹/L,  0.00,86.29 ₹/L,  0.00
Srinagar,101.74 ₹/L,  0.00,86.83 ₹/L,  0.00
Udhampur,98.73 ₹/L,  0.00,84.22 ₹/L,  0.00
